código,clave,descripción
101685,LAP-18B,Blíster con 2 lápices 18 cm bicolor gruesos para carpintero
101687,CRA-11R,"Blíster con 2 crayones de 12 cm industriales rojos, TRUPER"
101710,PUDE-12H2P,"Juego de 12 puntas hexagonales std largo 2', EXPERT"
101712,MANO-HIDR,"Manómetro para equipos hidroneumáticos, TRUPER"
101713,MAN-HIDR25,"Manguera para equipos hidroneumáticos de 24 y 50 L, TRUPER"
101714,MAN-HIDR1015,"Manguera para equipos hidroneumáticos de 100 y 150 L, TRUPER"
101716,SOPN-GRUP01,"Soporte nivelador para bomba BOAC-3/4, TRUPER"
101717,SOPN-GRUP02,"Soporte nivelador para bomba BOAC-1, TRUPER"
101734,MAL-B3P,"Banda de 4' x 9 m con gancho plano para malacate, TRUPER"
101735,MAL-B3J,"Banda de 4' x 9 m con gancho 'J' para malacate, TRUPER"
101736,MAL-3S,"Malacate soldable para banda de 4' ancho, TRUPER"
101737,MAL-3A,"Malacate atornillable para banda de 4' ancho, TRUPER"
101739,SU-400R,"Juego de 2 sujetadores con matraca, carga máxima 408 kg"
101741,SU-1000C4,Juego de 4 sujetadores con matraca carga máxima 1000 kg
101742,SU-675R4,Juego de 4 sujetadores con matraca carga máxima 675 kg
101748,CB-MEZ150N,"Bolsa con 2 carbones de repuesto para MEZ-150N, TRUPER"
101764,INT-ESMA-GRUPO1,"Interruptor de repuesto p/esmeriladoras Grupo 1, TRUPER"
101766,BR-INT-GRUPO1,"Brida interior para esmeriladoras angulares Grupo 1, TRUPER"
101767,BR-EXT-GRUPO1,"Brida exterior para esmeriladoras angulares Grupo 1, TRUPER"
101770,CHS-700NA,"Chaleco de seguridad para arnés, alta visibilidad, naranja"
101771,CHS-700VA,"Chaleco de seguridad para arnés, alta visibilidad, verde"
101772,CIAH-15G,Rollo de 5 m cinta antiderrapante 25mm gris p/áreas húmedas
