código,clave,descripción
101773,CIAH-25G,Rollo de 5 m cinta antiderrapante 50mm gris p/áreas húmedas
101775,CIAH-02G,Tarjeta 6 tiras 23cm antiderrapantes grises 50mm área húmeda
101786,POHE-11CX,"Porta herramientas de carnaza, 15 compartimentos, EXPERT"
101787,POHE-8CX,"Porta herramientas de carnaza, 13 compartimentos, EXPERT"
101788,POHE-4CX,"Porta herramientas de carnaza, 12 compartimentos, EXPERT"
101789,POHE-1CX,"Cinturón de carnaza para porta herramientas, TRUPER EXPERT"
101791,LEDE-TX,"Lentes transp antiempaño c/marco de espuma y correa, EXPERT"
101801,POHE-16NX,"Porta herramientas de poliéster, 16 compartimentos, EXPERT"
101802,POHE-10NX,"Porta herramientas de poliéster, 10 compartimentos, EXPERT"
101803,POHE-6NX,"Porta herramientas de poliéster, 6 compartimentos, EXPERT"
101812,PUDE-1402,"Estuche con 5 puntas de cruz PH2 largo 4', TRUPER EXPERT"
101813,PUDE-1403,"Estuche con 5 puntas de cruz PH3 largo 4', TRUPER EXPERT"
101822,BAT-20A4,"Batería ion litio, 20V, 4 Ah, TRUPER PRO"
101823,PUDE-1400,"Estuche con 5 puntas de cruz PH0 largo 4', TRUPER EXPERT"
101824,PUDE-1401,"Estuche con 5 puntas de cruz PH1 largo 4', TRUPER EXPERT"
101831,SU-1500C,Juego de 2 sujetadores con matraca carga máxima 1500 kg
101841,JBVI-4X,"Juego de 4 brocas para vidrio y azulejo, TRUPER EXPERT"
101843,DESI-36X,"Destornillador 3.6V, 2 posiciones, PRO"
101847,PI-H2000,"Pistola para HILA-2000, TRUPER"
101848,LA-H2000,"Lanza ajustable para HILA-2000, TRUPER"
101849,LAT-H2000,"Lanza turbo para HILA-2000, TRUPER"
101855,PIPI-401,"Pistola para pintar LVMP vaso plástico, 1.4 mm, TRUPER"
101856,PIPI-402,"Pistola para pintar LVMP vaso plástico, 1.7 mm, TRUPER"
101857,PIPI-403,"Pistola para pintar LVMP vaso plástico, 2 mm, TRUPER"
101883,EMT-10,"Multiescalera telescópica, 3.2 m, capacidad de carga 150 kg"
101884,EMT-18,"Multiescalera telescópica, 4.5 m, capacidad de carga 150 kg"
101887,CB-MOT-GRUPO1,Carburador p/motosierras a gasolinaMOT-4520/4518/4516 TRUPER
101895,TPN-861-2,"Lijadora orbital neumática industrial 6', TRUPER"
101896,TPN-883-2,"Remachadora neumática 3/16', TRUPER"
101900,MA5-H2000,"Manguera para HILA-2000, TRUPER"
101901,SOAP-H2000,"Dispensador de jabón para HILA-2000, TRUPER"
101902,MALE-22R,"Maleta portaherramientas con ruedas, TRUPER EXPERT"
101903,ESTE-207,"Escalera telescópica, 7 peldaños, tipo II, capacidad 102kg"
101904,ESTE-213,"Escalera telescópica,13 peldaños, tipo II, capacidad 102kg"
101905,ESMU-108,"Escalera multiposición 8 peldaños, Tipo I, TRUPER"
101906,ESMU-116,"Escalera multiposición 16 peldaños, Tipo I, TRUPER"
101927,SOAP-LAVA2,"Dispensador de jabón para LAVA-2000T, EXPERT"
101931,PICA-S,"Pistola calafateadora para salchicha de 600 ml, TRUPER"
101932,LEDE-ST-AE,"Lentes de seguridad transparentes con antiempaño, Vision"
101933,LEN-2000-AE,"Lentes de seguridad ajustables claros c/antiempaño, Classic"
101934,LEN-LT-AE,"Lentes de seguridad transparentes con antiempaño, Ultralite"
101946,CONE-BOSM,"Kit de conector y empaque p/bombas sumerg. metálicas, TRUPER"
101948,CONE-BOSP,"Kit de conector y empaque p/bombas sumerg. plásticas, TRUPER"
101954,LESO-X,"Sobrelente de seguridad claros con antiempaño, TRUPER EXPERT"
101956,FUN-HC,"Funda de cuero para hacha cazadora, TRUPER"
101961,PUNCA-14X,"Juego de 14 dados magnéticos para taladro, TRUPER"
101962,ESP-TELR,"Espejo telescópico con luz LED, 5 x 8 cm, TRUPER"
101963,T210-9X,"Pinza para electricista 9' c/ponchador de terminales, EXPERT"
101964,PUDE-90125,"Extensión magnética 5', para puntas, cambio rápido, EXPERT"
101967,POHE-1NX,"Cinturón de trabajo, TRUPER EXPERT"
101969,BOQ-90P,"Soplete plástico,encendido electrónico, 1/4 de vuelta,TRUPER"
101973,SOP-BOQ,"Juego de 3 boquillas para soplete, TRUPER"
101974,WT-300GL,"Grasa blanca de litio en aerosol 295 ml, TRUPER"
101975,WT-400CA,"Lubricante de cadenas en aerosol 400 ml, TRUPER"
101976,WT-400SP,"Lubricante penetrante en aerosol 400 ml, TRUPER"
101977,WT-240TE,"Lubricante seco PTFE en aerosol 240 ml, TRUPER"
102007,POHE-7GCU,"Porta herramientas grande de cuero, 7 compartimentos, TRUPER"
102035,CAR-FUB18,"Cargador para fumigador a batería FUB-18, TRUPER"
102037,LAN-FUB18,"Lanza para fumigador a batería FUB-18, TRUPER"
102038,MANG-FUB18,"Manguera para fumigador a batería FUB-18, TRUPER"
102039,MAN-FUB18,"Mango para fumigador a batería FUB-18, TRUPER"
102040,VAL-FUB18,"Válvula para fumigador a batería FUB-18, TRUPER"
102041,ARN-FUB18,"Arnés para fumigador a batería FUB-18, TRUPER"
102066,R82-COMP-24S,"1 pata de goma para compresores Grupo 7, TRUPER"
102067,R63-COMP-10L,"Manómetro para compresores Grupo 1, TRUPER"
102068,R52-COMP-50LT,"Manómetro para compresores Grupo 2, TRUPER"
102082,R63-COMP-50LT,"2 patas de goma para compresores Grupo 6, TRUPER"
102083,R20-COMP-50LV,"Tapón de aceite para compresores Grupo 8, TRUPER"
102100,BPJ-4M,"Bieldo para paja, 4 dientes, mango largo de acero 48' TRUPER"
102101,BPJ-5M,"Bieldo para paja, 5 dientes, mango largo de acero 48' TRUPER"
102111,HILA-2000X,"Hidrolavadora eléctrica,2000 PSI, motor de inducción, EXPERT"
102113,BPJ-4MC,"Bieldo para paja, 4 dientes, mgo de acero 37',puño'Y' TRUPER"
102114,BPJ-5MC,"Bieldo para paja, 5 dientes, mgo de acero 37',puño'Y' TRUPER"
102129,LI-CA-80R,"Linterna de minero LED 80 lm, recargable, TRUPER EXPERT"
102140,ATJ-V,"Azadón triangular jardinero, mango de madera 54', TRUPER"
102141,PROVO-2,"Probador de tensión sin contacto tipo pluma, TRUPER"
102150,LI-CA-80CR,"Linterna de minero LED 80 lm, recargable, TRUPER"
102170,PCACL-P,"Pala carbonera chica T-2000 con mango largo de 43', TRUPER"
102203,REP-M3812B,"Kit de refacciones para M-3812B, TRUPER"
102204,REP-M1438B,"Kit de refacciones para M-1438B, TRUPER"
102206,PPH-PE,"Pala redonda T-1000 tipo español, puño 'Y', TRUPER"
10221,ACA-6X,"Arco calador con 5 seguetas de 6-1/2', TRUPER"
102235,MAXCOM-20,"Combo rotomartillo y destornillador de impacto, 20V, MAX"
102236,SOIN-130,"Soldadora inversora 130A, 127V, TRUPER EXPERT"
102248,AD-2R,Conector 'Y' 3/4' metálico con recubrimiento para manguera
102251,JBAV-5R,"Juego de 5 brocas HSS para metal zanco cambio rápido, EXPERT"
102252,JBAV-13R,"Juego de 13 brocas HSS p/metal zanco cambio rápido, EXPERT"
102262,PI-H2000X,"Pistola para HILA-2000X, TRUPER EXPERT"
102263,LA-H2000X,"Lanza ajustable para HILA-2000X, TRUPER EXPERT"
102264,MA-H2000X,"Manguera para HILA-2000X, TRUPER EXPERT"
102265,BT-H2000X,"Boquilla turbo para HILA-2000X, TRUPER EXPERT"
102271,MOTO-AI,"Herramienta rotativa inalámbrica 7.2V, TRUPER PRO"
102272,SOP-T12,"Soporte vertical para taladro 3/8'-1/2', TRUPER"
102273,SOP-E45,"Soporte para esmeriladora angular de 4 1/2', TRUPER"
102305,MOE-1B,"Motor eléctrico monofásico de 1 HP, baja velocidad, TRUPER"
102307,MOE-2B,"Motor eléctrico monofásico de 2 HP, baja velocidad, TRUPER"
102311,MOE-1A,"Motor eléctrico monofásico de 1 HP, alta velocidad, TRUPER"
102313,MOE-2A,"Motor eléctrico monofásico de 2 HP, alta velocidad, TRUPER"
102315,ROU-MN,"Router (Rebajadora) compacto 710W, 3/4 HP, TRUPER INDUSTRIAL"
102322,SOIN-130M,"Mini soldadora inversora 130A, 127V, TRUPER EXPERT"
102327,MAS-PLEN,Respirador plegable N95 negro para polvos y partículas
102328,MOTO-5D,"Kit de minidiscos sierra para herramienta rotativa, 5 piezas"
10233,CAT-45FF,"Carretilla 4.5 ft3 Imponchable, bastidor tubular, TRUPER"
102332,FCG-10M,"Flexómetro compacto contra impactos 10 m cinta 25 mm, TRUPER"
102333,PULA-6A,"Pulidora doble acción 6', 900W, TRUPER PRO"
102336,MAS-PLE-V,"Respirador plegable N95 con válvula para partículas, TRUPER"
102340,BCT-5X100,"Broca para concreto 5 x 100 mm, TRUPER"
102341,BCT-5X150,"Broca para concreto 5 x 150 mm, TRUPER"
102342,BCT-6X100,"Broca para concreto 6 x 100 mm, TRUPER"
102343,BCT-6X150,"Broca para concreto 6 x 150 mm, TRUPER"
102344,BCT-6X300,"Broca para concreto 6 x 300 mm, TRUPER"
102345,BCT-8X100,"Broca para concreto 8 x 100 mm, TRUPER"
102346,BCT-8X150,"Broca para concreto 8 x 150 mm, TRUPER"
102347,BCT-8X300,"Broca para concreto 8 x 300 mm, TRUPER"
102348,BCT-10X125,"Broca para concreto 10 x 125 mm, TRUPER"
102349,BCT-10X150,"Broca para concreto 10 x 150 mm, TRUPER"
102350,BCT-10X300,"Broca para concreto 10 x 300 mm, TRUPER"
102351,BCT-13X150,"Broca para concreto 13 x 150 mm, TRUPER"
102352,BCT-13X300,"Broca para concreto 13 x 300 mm, TRUPER"
102353,BCT-16X150,"Broca para concreto 16 x 150 mm, TRUPER"
102354,BCT-16X300,"Broca para concreto 16 x 300 mm, TRUPER"
102355,BCT-19X150,"Broca para concreto 19 x 150 mm, TRUPER"
102356,BCT-19X300,"Broca para concreto 19 x 300 mm, TRUPER"
102357,BCT-22X150,"Broca para concreto 22 x 150 mm, TRUPER"
102358,BCT-22X300,"Broca para concreto 22 x 300 mm, TRUPER"
102359,BCT-25X150,"Broca para concreto 25 x 150 mm, TRUPER"
102360,BCT-25X300,"Broca para concreto 25 x 300 mm, TRUPER"
102369,M-1472,"Matraca liberación rápida 72 dientes, cuadro 1/4', TRUPER"
102379,ROU-MA,"Router compacto 600W, 3/4 HP, TRUPER PRO"
102391,PUN-80X,"Juego de puntas mixtas 1' y 2', 80 piezas, TRUPER EXPERT"
102393,PEX-8X,"Pinzas de extensión 8' mango Comfort Grip, TRUPER EXPERT"
102394,PEX-12X,"Pinzas de extensión 12' mango Comfort Grip, TRUPER EXPERT"
102400,M-3872,"Matraca liberación rápida 72 dientes, cuadro 3/8', TRUPER"
102401,M-1272,"Matraca liberación rápida 72 dientes, cuadro 1/2', TRUPER"
102403,SOAP-HC,Dispensador con cañón lanza espuma para hidrolavadora
102405,MOTB-4X,"Motobomba autocebante 4'x4', gasolina 15HP, agrícola, TRUPER"
102421,BASE-5T,"Báscula digital para cocina, con tazón, 5 kg, TRUPER"
102422,MOTB-4D,"Motobomba autocebante 4'x4', diesel 10HP, agrícola, TRUPER"
102424,CAU-25ERK,"Kit soldadura electrónica con cautín de 25 W, temp regulable"
102426,T211-9X,Pinza para electricista 9' alta palanca mango Comfort Grip
102427,T202-5X,"Pinza corte diagonal 5' alta palanca, Comfort Grip, EXPERT"
102428,T202-8X,"Pinza corte diagonal 8' alta palanca, Comfort Grip, EXPERT"
102429,MULH-35A,"Multiherramienta 350W con 9 accesorios, TRUPER PRO"
102434,CHP-17XC,Caja para herramienta 17' compartimentos y broches metálicos
102435,CHP-20XC,Caja para herramienta 20' compartimentos y broches metálicos
102451,ZP-6M,"Zapapico 6 lb, mango fibra de vidrio 36', TRUPER"
102452,ZP-4M,"Zapapico 4 lb, mango fibra de vidrio 36', TRUPER"
102453,TP-4M,"Talacho-pico 4 lb, mango fibra de vidrio 36', TRUPER"
102454,PES-PD,"Pala escarramán T-2000, puño doble 'Y', TRUPER"
102456,PRY-PD,"Pala redonda T-2000, puño doble 'Y', TRUPER"
102457,PCY-PF,"Pala cuadrada T-2000, puño 'Y' mango fibra de vidrio, TRUPER"
102458,PRY-PF,"Pala redonda T-2000, puño 'Y' mango fibra de vidrio, TRUPER"
102459,PCAY-PF,"Pala carbonera T-2000, puño 'Y' mango fibra de vidrio TRUPER"
102462,REV-21M,"Revolvedor para mortero, 210mm de diámetro, TRUPER"
102471,ST-624,"Disco sierra 6-1/2' p/madera, 24 dientes con centro 5/8'"
102494,NC-10,"Navaja de costilla con cuerpo metálico, TRUPER"
102496,ESMA-4580PN,"Esmeriladora 4-1/2', 850 W, int. paleta, TRUPER INDUSTRIAL"
102509,CAU-25ER,"Cautín profesional electrónica de 25W, temperatura regulable"
102511,PE-CA-10M,"Pinza cortador multicable 10', TRUPER"
102528,MAN-30X1/2X,Manguera 1/2' super reforzada 4 capas 30 m conexiones metal
10253,CAT-55FF,"Carretilla 4.75 ft3 angosta, Imponchable, tubular, TRUPER"
102530,RES-600,"Respirador de cara completa, TRUPER"
102533,ACEM-34,"Aceite mineral para compresor 1000ml (34oz), TRUPER"
102543,BASE-500C,"Báscula electrónica colgante, recargable, 500 kg, TRUPER"
102544,PESQ-45,"Prensa esquinera profesional 4-1/2', TRUPER"
102546,MAN-25X1/2RE,Manguera 1/2' reforzada 3 capas 25 m conexiones plásticas
102548,LT-35Z,"Lona de polietileno reforzada 3 x 5 m, azul, 180g/m2, TRUPER"
102549,LT-36Z,"Lona de polietileno reforzada 3 x 6 m, azul, 180g/m2, TRUPER"
10255,CAT-60FF,"Carretilla 6 ft3 Imponchable, bastidor tubular, TRUPER"
102551,REPI-19,"Rejilla escurridora para rodillos, TRUPER"
10256,T-460-18BB,"Machete estándar 18' cacha negra inyectada, en bolsa, TRUPER"
102562,BPJ-10L,"Bieldo para estiércol, 10 dientes, mango 48', cabeza soldada"
102563,PCY-PL,"Pala cuadrada T-2000, puño offset 'Y', mango 36', TRUPER"
102573,LT-57Z,"Lona de polietileno reforzada 5 x 7 m, azul, 180g/m2, TRUPER"
102575,LT-69Z,"Lona de polietileno reforzada 6 x 9 m, azul, 180g/m2, TRUPER"
102576,LT-710Z,"Lona de polietileno reforzada 7x10 m, azul, 180g/m2, TRUPER"
102577,LT-914Z,"Lona de polietileno reforzada 9x14 m, azul, 180g/m2, TRUPER"
102578,PISCA-AM,"Mini pistola de calor 350W, TRUPER PRO"
10259,GA-10R,"Gancho recto reforzado de 10' con portaetiqueta, TRUPER"
102595,OCU-1,Juego de plantilla para uniones ocultas con un tornillo
102596,OCU-2,Juego de plantilla para uniones ocultas con dos tornillos
102604,MG-PY-R,"Mango de reposición para pala T-2000, puño recto 'Y', 26?"
102617,CT-12B,"Cuchara para albañil 12' forjada tipo Filadelfia,mgo Comfort"
102621,TAP-PA,Bolsa con 10 tapas de repuesto para pintura aerosol TRUPER
102625,PAR-118,Prensa con ajuste rápido 18'
102626,PAR-124,Prensa con ajuste rápido 24'
102627,PAR-130,Prensa con ajuste rápido 30'
102628,PAR-136,Prensa con ajuste rápido 36'
102629,PAR-218,"Prensa con ajuste rápido 18', uso rudo, TRUPER EXPERT"
102633,PULA-6AM,"Pulidora roto-orbital compacta 6', 45W, TRUPER PRO"
10264,EST-24,"Escalera de tijera tipo ll 4 peldaños y bandeja, TRUPER"
102640,PAR-230,"Prensa con ajuste rápido 30', uso rudo, TRUPER EXPERT"
102641,PAR-236,"Prensa con ajuste rápido 36', uso rudo, TRUPER EXPERT"
102643,CHA-1712,"Caja para herramienta, profunda de 17'x12', TRUPER"
102644,CHP-1925R,"Caja para herramienta,19'x25' con ruedas, 3 en 1 desmontable"
102645,FDO-2X,"Fumigador doméstico de 2.5 litros, mango ergonómico, EXPERT"
102650,JT-MC,Tornillería con chumaceras para carretillas tipo americano
102663,FH-3MC,Flexómetro Gripper 3 m cinta 13 mm display box con 24 piezas
102664,FH-5MC,Flexómetro Gripper 5 m cinta 13 mm display box con 12 piezas
102682,SELO-50H,"Bolsa con 100 separadores huecos de 5mm para losetas, TRUPER"
102683,SELO-70H,"Bolsa con 100 separadores huecos de 7mm para losetas, TRUPER"
102684,BOR1-PULA,"Borla 75% poliéster y 25% algodón 6', banda elástica, TRUPER"
102685,BOR2-PULA,"Borla 100% poliéster de 6', banda elástica, TRUPER"
102702,LLP-6CG,"Llana 11' dentado cuadrado 1/2', 6 remaches, mango plástico"
102703,LLM-6CG,"Llana 11' dentado cuadrado 1/2', 6 remaches, mango madera"
102704,LLM-11CG,"Llana 11' dentado cuadrado 1/2', 10 remaches, mango madera"
102709,CE-BOS-1LM,"Caja de control para bomba tipo bala 1 HP, TRUPER"
102710,CE-BOS-2LM,"Caja de control para bomba tipo bala 2 HP, TRUPER"
102720,BROU-RB1/4X,"Broca para router, corte recto, 1/4' con balero, TRUPER"
102721,BROU-RB3/8X,"Broca para router, corte recto, 3/8' con balero, TRUPER"
102723,BROU-MC1,"Broca para router, media caña, 1', TRUPER"
102724,BROU-RB7/8X,"Broca para router, rebajado, 7/8' con balero, TRUPER"
102726,BROU-RD5/8X,"Broca para router, redondeado, 5/8' con balero, TRUPER"
102728,BROU-MACH5/8X,"Juego de machimbrador, 5/8', con balero"
102735,MOT-3814,"Motosierra 38 cc a gasolina con barra de 14', TRUPER"
102750,LLM-2CG,"Llana 11' dentado cuadrado 1/2', tipo español, mango madera"
102763,MG-ACO-2/3,"Mango de madera 54' para azadones Córdoba, TRUPER"
102775,LLG-6L,"Llana 11' canto recto, 6 remaches, mgo comfort grip, TRUPER"
102776,LLG-11D,"Llana 11' dentado triangular, 10 remaches, mgo comfort grip"
102777,LLG-6D,"Llana 11' dentado triangular, 6 remaches, mango Comfort Grip"
102778,LLG-11C,"Llana 11' dentado cuadrado 1/4', 10 remaches, mango Comfort"
102779,LLG-6C,"Llana 11' dentado cuadrado 1/4', 6 remaches, mango Comfort"
102790,LLG-11CG,"Llana 11' dentado cuadrado 1/2', 10 remaches, mango comfort"
102791,LLG-6CG,"Llana 11' dentado cuadrado 1/2', 6 remaches, mango Comfort"
102795,HILA-1600C,"Hidrolavadora eléctrica compacta 1600 PSI, TRUPER"
102816,PI-H1600C,"Pistola para HILA-1600C, TRUPER"
102818,MA5-H1600C,"Manguera para HILA-1600C, TRUPER"
102819,SOAP-H1600C,"Dispensador de jabón para HILA-1600C, TRUPER"
102857,PRE-1I,"Bomba presurizadora jet acero 1 HP con control, TRUPER"
102859,CALI-20A,"Sierra caladora 20V, 1 batería 2Ah, TRUPER PRO"
102860,ESM-3X,"Escuadra magnética para soldar de 3-1/4' carga 25 kg, EXPERT"
102861,ESM-4X,"Escuadra magnética para soldar de 4-3/8' carga 50 kg, EXPERT"
102862,ESM-5X,"Escuadra magnética para soldar de 5-1/2' carga 70 kg, EXPERT"
102863,LIRI-20A,"Lijadora roto-orbital 5', 20V, 1 batería 2Ah, TRUPER PRO"
102869,ACE-30M,"Azadón Centroamericano 3.0 lb, mango de fibra 54', TRUPER"
102870,LA-H1600C,"Juego de 2 lanzas ajustables para HILA-1600C, TRUPER"
102871,FIL-H1600C,"Filtro de agua para HILA-1600C, TRUPER"
102873,ROEL-30N2,"Rotomartillo SDS Plus/destornillador, 3.5 J, 800W, mango D"
102885,DECU-8,"Destapador de cubetas, TRUPER"
102898,BASE-40C,"Báscula electrónica colgante, recargable, c/charola, 40 kg"
102899,MOT-5016,"Motosierra 50 cc a gasolina con barra de 16', TRUPER"
102910,ACE-25M,"Azadón Centroamericano 2.5 lb, mango de fibra 54', TRUPER"
102911,MG-ACE-30/25,Mango de fibra 54' para azadones centroamericanos 2.5 y 3 lb
102919,MG-ALM,"Mango de madera 54' para azadones lane y martillo, TRUPER"
102920,MOT-5018,"Motosierra 50 cc a gasolina con barra de 18', TRUPER"
102921,MOT-5020,"Motosierra 50 cc a gasolina con barra de 20', TRUPER"
102931,ABC-34,"Aceite lubricante para barra y cadena de motosierra, TRUPER"
102932,ACEH-34,"Aceite hidráulico para gatos, 1 Litro, TRUPER"
102933,PMP-30,"Prensa morsa plana, apertura 3' (75 mm), TRUPER"
102934,PMP-40,"Prensa morsa plana, apertura 4' (100 mm), TRUPER"
102935,PMP-50,"Prensa morsa plana, apertura 5' (125 mm), TRUPER"
102936,PMP-60,"Prensa morsa plana, apertura 6' (150 mm), TRUPER"
102938,GAMO-7120,"Gabinete metálico móvil, 6 cajones, 2 compartimentos, TRUPER"
102940,CATA-36X,"Cama / banco de 36' para mecánico, TRUPER"
102946,TEBA-4,"Blíster 2 terminales p/batería, desconexión rápida, TRUPER"
102947,TEBA-5,"Terminal p/batería con interruptor switch, TRUPER"
102950,STR-18M,"Serrucho Rapid 18', 7 DPP, mango de madera, TRUPER"
102951,STR-20M,"Serrucho Rapid 20', 7 DPP, mango de madera, TRUPER"
102952,STR-22M,"Serrucho Rapid 22', 7 DPP, mango de madera, TRUPER"
102960,MG-ML/LEM,"Mango de madera 36' para hachas media y labor entera, TRUPER"
102962,ASP-03N,"Aspiradora de sólidos y líquidos, 3 gal, plástica, negra"
102963,ASP-04N,"Aspiradora de sólidos y líquidos, 4 gal, plástica, negra"
102964,ASP-06N,"Aspiradora de sólidos y líquidos, 6 gal, plástica, negra"
102966,TP-5MM,"Talacho-pico 5 lb, mango de madera 36', TRUPER"
102967,ZP-5MM,"Zapapico 5 lb, mango de madera 36', TRUPER"
102969,LE-3MM,"Hacha labor entera 3 lb, mango de madera 36', TRUPER"
102970,SOPLA-53,"Sopladora con motor de 53cc a gasolina, tipo mochila, TRUPER"
102972,CORSOL-T,"Equipo de oxicorte y soldadura, TRUPER"
102973,CANT-6B,"Canteadora de banco 6', 2 HP (1500 W), TRUPER"
102975,BOS-1LM-2,"Bomba sumergible tipo bala 4', 1HP,uso agrícola, 220V,TRUPER"
102977,BOS-2LM-2,"Bomba sumergible tipo bala 4', 2HP,uso agrícola, 220V,TRUPER"
102978,BOS-3LM-2,"Bomba sumergible tipo bala 4', 3HP,uso agrícola, 220V,TRUPER"
102981,LE-4MM,"Hacha labor entera 4 lb, mango de madera 36', TRUPER"
102982,ML-3MM,"Hacha media labor 3 lb, mango de madera 36', TRUPER"
102984,ML-4MM,"Hacha media labor 4 lb, mango de madera 36', TRUPER"
102992,TRAV-50X/60X,Travesaño para carretillas TRUPER EXPERT
102996,CAR-KID,"Carretilla para niños, concha metálica 54 x 40 cm, TRUPER"
102999,LL-ESMA-479,"Llave de repuesto ajustable para esmeriladoras 4 1/2', 7',9'"
103007,TP-7X,"Carretilla 7ft3 EXPERT plástica, 2 llantas,bastidor metálico"
103008,CAT-60PLX,"Carretilla 6ft3 EXPERT plástica, neumática, bastidor tubular"
103009,BAT-20A4-2,"Batería ion litio, 20V, 4 Ah, TRUPER PRO"
103010,UNA-530,"Cortaúñas 3' acero inoxidable, TRUPER"
103012,PMU-8EX,"Pinza multiuso 8' electricista, comfort grip, TRUPER EXPERT"
103013,PMU-8PX,"Pinza multiuso 8' punta larga, comfort grip, TRUPER expert"
103015,MACH-10X,"Machete doble filo 10', cacha inyectada, con funda, TRUPER"
103020,TABU-2L,"Taburete ligero de plástico, 2 peldaños"
103027,CFI-12,"Cinta flejadora con filamentos 12mm x 50 m, transparente"
103028,CFI-18,"Cinta flejadora con filamentos 18mm x 50 m, transparente"
103029,CFI-24,"Cinta flejadora con filamentos 24mm x 50 m, transparente"
10303,REG-3X,"Aspersor b/metálica giratorio 3 brazos de aluminio, TRUPER"
103030,COMP-10L2,"Compresor lubricado, 10L, 2 HP, horizontal, 127V, TRUPER"
103032,MOTO-20PD,"Kit de puntas diamantadas para herramienta rotativa, 20 pzas"
103035,ST-760MM,"Disco sierra 7-1/4' multimaterial, 60 dientes centro 5/8'"
103040,CFI-48,"Cinta flejadora con filamentos 48mm x 50 m, transparente"
103043,ST-101-BF,"Blíster 5 seguetas T, 10 DPP BIM, corte recto p/ madera dura"
103044,ST-308-B,"Blíster 5 seguetas T, 12 DPP HCS, corte recto limpio/madera"
103045,ST-101-AO,"Blíster 5 seguetas T, 18 DPP HCS, corte curvo limpio/madera"
103046,ST-344-D,"Blíster 5 seguetas T, 6 DPP HCS, corte recto rápido/madera"
103047,ST-121-BF,"Blíster 5 seguetas T, 12 DPP BIM, corte recto rápido/metal"
103048,ST-121-AF,"Blíster 5 seguetas T, 21 DPP BIM, corte recto rápido/metal"
103057,FCN-10M,"Flexómetro contra impactos 10 m, Cinta Negra 32 mm, TRUPER"
103059,M-3866,Mango articulado de 10' x 13 mm para dados cuadro 3/8'
